Number of clusters = 4

Point   1 : Cluster =  1 , Type = core
Point  69 : Cluster =  1 , Type = core
Point  70 : Cluster =  1 , Type = core
Point  71 : Cluster =  1 , Type = core
Point  72 : Cluster =  1 , Type = core
Point  73 : Cluster =  1 , Type = core
Point  74 : Cluster =  1 , Type = core
Point  75 : Cluster =  1 , Type = core
Point  76 : Cluster =  1 , Type = core
Point  77 : Cluster =  1 , Type = core
Point  78 : Cluster =  1 , Type = core
Point  79 : Cluster =  1 , Type = core
Point  80 : Cluster =  1 , Type = core
Point  81 : Cluster =  1 , Type = core
Point  82 : Cluster =  1 , Type = core
Point  83 : Cluster =  1 , Type = core
Point  84 : Cluster =  1 , Type = core
Point  85 : Cluster =  1 , Type = core
Point  86 : Cluster =  1 , Type = core
Point  87 : Cluster =  1 , Type = core
Point  88 : Cluster =  1 , Type = core
Point  89 : Cluster =  1 , Type = core
Point  90 : Cluster =  1 , Type = core
Point  91 : Cluster =  1 , Type = core
Point  92 : Cluster =  1 , Type = core
Point  93 : Cluster =  1 , Type = core
Point  94 : Cluster =  1 , Type = core
Point  95 : Cluster =  1 , Type = core
Point  96 : Cluster =  1 , Type = core
Point  97 : Cluster =  1 , Type = core
Point  98 : Cluster =  1 , Type = core
Point  99 : Cluster =  1 , Type = core
Point 100 : Cluster =  1 , Type = core
Point 101 : Cluster =  1 , Type = core
Point 102 : Cluster =  1 , Type = core
Point 103 : Cluster =  1 , Type = core
Point 104 : Cluster =  1 , Type = core
Point 105 : Cluster =  1 , Type = core
Point 106 : Cluster =  1 , Type = core
Point 107 : Cluster =  1 , Type = core
Point 108 : Cluster =  1 , Type = core
Point 109 : Cluster =  1 , Type = core
Point 110 : Cluster =  1 , Type = core
Point 111 : Cluster =  1 , Type = core
Point 112 : Cluster =  1 , Type = core
Point 113 : Cluster =  1 , Type = core
Point 114 : Cluster =  1 , Type = core
Point 115 : Cluster =  1 , Type = core
Point 116 : Cluster =  1 , Type = core
Point 117 : Cluster =  1 , Type = core
Point 118 : Cluster =  1 , Type = core
Point 119 : Cluster =  1 , Type = core
Point 120 : Cluster =  1 , Type = core
Point 121 : Cluster =  1 , Type = core
Point 122 : Cluster =  1 , Type = core
Point 123 : Cluster =  1 , Type = core
Point 124 : Cluster =  1 , Type = core
Point 125 : Cluster =  1 , Type = core
Point 126 : Cluster =  1 , Type = core
Point 127 : Cluster =  1 , Type = core
Point 128 : Cluster =  1 , Type = core
Point 129 : Cluster =  1 , Type = core
Point 130 : Cluster =  1 , Type = core
Point 131 : Cluster =  1 , Type = core
Point 132 : Cluster =  1 , Type = core
Point 133 : Cluster =  1 , Type = core
Point 134 : Cluster =  1 , Type = core
Point 135 : Cluster =  1 , Type = core
Point 136 : Cluster =  1 , Type = core
Point 137 : Cluster =  1 , Type = core
Point 138 : Cluster =  1 , Type = core
Point 139 : Cluster =  1 , Type = core
Point 140 : Cluster =  1 , Type = core
Point 141 : Cluster =  1 , Type = core
Point 142 : Cluster =  1 , Type = core
Point 143 : Cluster =  1 , Type = core
Point 144 : Cluster =  1 , Type = core
Point 145 : Cluster =  1 , Type = core
Point 146 : Cluster =  1 , Type = core
Point 147 : Cluster =  1 , Type = core
Point 148 : Cluster =  1 , Type = core
Point 149 : Cluster =  1 , Type = core
Point 150 : Cluster =  1 , Type = core
Point 151 : Cluster =  1 , Type = core
Point 152 : Cluster =  1 , Type = core
Point 153 : Cluster =  1 , Type = core
Point 154 : Cluster =  1 , Type = core
Point 155 : Cluster =  1 , Type = core
Point 156 : Cluster =  1 , Type = core
Point 157 : Cluster =  1 , Type = core
Point 158 : Cluster =  1 , Type = core
Point 159 : Cluster =  1 , Type = core
Point 160 : Cluster =  1 , Type = core
Point 161 : Cluster =  1 , Type = core
Point 162 : Cluster =  1 , Type = core
Point 163 : Cluster =  1 , Type = core
Point 164 : Cluster =  1 , Type = core
Point 165 : Cluster =  1 , Type = core
Point 166 : Cluster =  1 , Type = core
Point 167 : Cluster =  1 , Type = core
Point 168 : Cluster =  1 , Type = core
Point 169 : Cluster =  1 , Type = core
Point 170 : Cluster =  1 , Type = core
Point 171 : Cluster =  1 , Type = core
Point 172 : Cluster =  1 , Type = core
Point 173 : Cluster =  1 , Type = core
Point 174 : Cluster =  1 , Type = core
Point 175 : Cluster =  1 , Type = core
Point 176 : Cluster =  1 , Type = core
Point 177 : Cluster =  1 , Type = core
Point 178 : Cluster =  1 , Type = core
Point 179 : Cluster =  1 , Type = core
Point 180 : Cluster =  1 , Type = core
Point 181 : Cluster =  2 , Type = core
Point 182 : Cluster =  2 , Type = core
Point 183 : Cluster =  2 , Type = core
Point 184 : Cluster =  2 , Type = core
Point 185 : Cluster =  2 , Type = core
Point 186 : Cluster =  2 , Type = core
Point 187 : Cluster =  2 , Type = core
Point 188 : Cluster =  2 , Type = core
Point 189 : Cluster =  2 , Type = core
Point 190 : Cluster =  2 , Type = core
Point 191 : Cluster =  2 , Type = core
Point 192 : Cluster =  2 , Type = core
Point 193 : Cluster =  2 , Type = core
Point 194 : Cluster =  2 , Type = core
Point 195 : Cluster =  2 , Type = core
Point 196 : Cluster =  2 , Type = core
Point 197 : Cluster =  2 , Type = core
Point 198 : Cluster =  2 , Type = core
Point 199 : Cluster =  2 , Type = core
Point 200 : Cluster =  2 , Type = core
Point 201 : Cluster =  2 , Type = core
Point 202 : Cluster =  2 , Type = core
Point 203 : Cluster =  2 , Type = core
Point 204 : Cluster =  2 , Type = core
Point 205 : Cluster =  2 , Type = core
Point 206 : Cluster =  2 , Type = core
Point 207 : Cluster =  2 , Type = core
Point 208 : Cluster =  2 , Type = core
Point 209 : Cluster =  2 , Type = core
Point 210 : Cluster =  2 , Type = core
Point 211 : Cluster =  2 , Type = core
Point 212 : Cluster =  2 , Type = core
Point 213 : Cluster =  2 , Type = core
Point 214 : Cluster =  2 , Type = core
Point 215 : Cluster =  2 , Type = core
Point 216 : Cluster =  3 , Type = core
Point 217 : Cluster =  3 , Type = core
Point 218 : Cluster =  3 , Type = core
Point 219 : Cluster =  3 , Type = core
Point 220 : Cluster =  3 , Type = core
Point 221 : Cluster =  3 , Type = core
Point 222 : Cluster =  3 , Type = core
Point 223 : Cluster =  3 , Type = core
Point 224 : Cluster =  3 , Type = core
Point 225 : Cluster =  3 , Type = core
Point 226 : Cluster =  3 , Type = core
Point 227 : Cluster =  3 , Type = core
Point 228 : Cluster =  3 , Type = core
Point 229 : Cluster =  3 , Type = core
Point 230 : Cluster =  3 , Type = core
Point 231 : Cluster =  3 , Type = core
Point 232 : Cluster =  3 , Type = core
Point 233 : Cluster =  3 , Type = core
Point 234 : Cluster =  3 , Type = core
Point 235 : Cluster =  3 , Type = core
Point 236 : Cluster =  3 , Type = core
Point 237 : Cluster =  3 , Type = core
Point 238 : Cluster =  3 , Type = core
Point 239 : Cluster =  3 , Type = core
Point 240 : Cluster =  3 , Type = core
Point 241 : Cluster =  3 , Type = core
Point 242 : Cluster =  3 , Type = core
Point 243 : Cluster =  3 , Type = core
Point 244 : Cluster =  3 , Type = core
Point 245 : Cluster =  3 , Type = core
Point 246 : Cluster =  3 , Type = core
Point 247 : Cluster =  3 , Type = core
Point 248 : Cluster =  3 , Type = core
Point 249 : Cluster =  3 , Type = core
Point 250 : Cluster =  3 , Type = core
Point 251 : Cluster =  4 , Type = core
Point 252 : Cluster =  4 , Type = core
Point 253 : Cluster =  4 , Type = core
Point 254 : Cluster =  4 , Type = core
Point 255 : Cluster =  4 , Type = core
Point 256 : Cluster =  4 , Type = core
Point 257 : Cluster =  4 , Type = core
Point 258 : Cluster =  4 , Type = core
Point 259 : Cluster =  4 , Type = core
Point 260 : Cluster =  4 , Type = core
Point 261 : Cluster =  4 , Type = core
Point 262 : Cluster =  4 , Type = core
Point 263 : Cluster =  4 , Type = core
Point 264 : Cluster =  4 , Type = core
Point 265 : Cluster =  4 , Type = core
Point 266 : Cluster =  4 , Type = core
Point 267 : Cluster =  4 , Type = core
Point 268 : Cluster =  4 , Type = core
Point 269 : Cluster =  4 , Type = core
Point 270 : Cluster =  4 , Type = core
Point 271 : Cluster =  4 , Type = core
Point 272 : Cluster =  4 , Type = core
Point 273 : Cluster =  4 , Type = core
Point 274 : Cluster =  4 , Type = core
Point 275 : Cluster =  4 , Type = core
Point 276 : Cluster =  4 , Type = core
Point 277 : Cluster =  4 , Type = core
Point 278 : Cluster =  4 , Type = core
Point 279 : Cluster =  4 , Type = core
Point 280 : Cluster =  4 , Type = core
Point 281 : Cluster =  4 , Type = core
Point 282 : Cluster =  4 , Type = core
Point 283 : Cluster =  4 , Type = core
Point 284 : Cluster =  4 , Type = core
Point 285 : Cluster =  4 , Type = core
Point 286 : Cluster =  4 , Type = core
Point 287 : Cluster =  4 , Type = core
Point 288 : Cluster =  4 , Type = core
Point 289 : Cluster =  4 , Type = core
Point 290 : Cluster =  4 , Type = core
Point 291 : Cluster =  4 , Type = core
Point 292 : Cluster =  4 , Type = core
Point 293 : Cluster =  4 , Type = core
Point 294 : Cluster =  4 , Type = core
Point 295 : Cluster =  4 , Type = core
Point 296 : Cluster =  4 , Type = core
Point 297 : Cluster =  4 , Type = core
Point 298 : Cluster =  4 , Type = core
Point 299 : Cluster =  4 , Type = core
Point 300 : Cluster =  4 , Type = core
Point 301 : Cluster =  4 , Type = core
Point 302 : Cluster =  4 , Type = core
Point 303 : Cluster =  4 , Type = core
Point 304 : Cluster =  4 , Type = core
Point 305 : Cluster =  4 , Type = core
Point 306 : Cluster =  4 , Type = core
Point 307 : Cluster =  4 , Type = core
Point 308 : Cluster =  4 , Type = core
Point 309 : Cluster =  4 , Type = core
Point 310 : Cluster =  4 , Type = core
Point 311 : Cluster =  4 , Type = core
Point 312 : Cluster =  4 , Type = core
Point 313 : Cluster =  4 , Type = core
Point 314 : Cluster =  4 , Type = core
Point 315 : Cluster =  4 , Type = core
Point 316 : Cluster =  4 , Type = core
Point 317 : Cluster =  4 , Type = core
Point 318 : Cluster =  4 , Type = core
Point 319 : Cluster =  4 , Type = core
Point 320 : Cluster =  4 , Type = core
Point 321 : Cluster =  4 , Type = core
Point 322 : Cluster =  4 , Type = core
Point 323 : Cluster =  4 , Type = core
Point 324 : Cluster =  4 , Type = core
Point 325 : Cluster =  4 , Type = core
Point 326 : Cluster =  4 , Type = core
Point 327 : Cluster =  4 , Type = core
Point 328 : Cluster =  4 , Type = core
Point 329 : Cluster =  4 , Type = core
Point 330 : Cluster =  4 , Type = core
Point 331 : Cluster =  4 , Type = core
Point 332 : Cluster =  4 , Type = core
Point 333 : Cluster =  4 , Type = core
Point 334 : Cluster =  4 , Type = core
Point 335 : Cluster =  4 , Type = core
Point 336 : Cluster =  4 , Type = core
Point 337 : Cluster =  4 , Type = core
Point 338 : Cluster =  4 , Type = core
Point 339 : Cluster =  4 , Type = core
Point 340 : Cluster =  4 , Type = core
Point 341 : Cluster = -1 , Type = noise
Point 342 : Cluster = -1 , Type = noise
Point 343 : Cluster =  1 , Type = core
Point 344 : Cluster = -1 , Type = noise
Point 345 : Cluster =  2 , Type = core
Point 346 : Cluster =  1 , Type = border
Point 347 : Cluster =  1 , Type = core
Point 348 : Cluster = -1 , Type = noise
Point 349 : Cluster = -1 , Type = noise
Point 350 : Cluster = -1 , Type = noise
Point 351 : Cluster = -1 , Type = noise
Point 352 : Cluster =  1 , Type = border
Point 353 : Cluster = -1 , Type = noise
Point 354 : Cluster = -1 , Type = noise
Point 355 : Cluster =  1 , Type = border
>> 
